name,city,statenam,state,censdist,year,sworn,civil,elecyear,governor,murder,rape,robbery,assault,burglary,larceny,auto,rincpc,econgrow,unemp,citypop,term2,term3,term4,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,termlim,jid,mayor,date_wa,date_my,web
,1,,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Apr-62,.,0
,1,,NA,NA,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1,Apr-62,.,0
,1,,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Apr-62,.,0
,1,,NA,NA,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Apr-66,.,0
,1,,NA,NA,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Apr-66,.,0
,1,,NA,NA,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1,Apr-66,.,0
,1,,NA,NA,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Oct-67,.,0
,1,,NA,NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Apr-70,.,0
,1,,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Apr-70,.,0
albuquerque,1,,31,85,1969,328,127,1,0,NA,NA,NA,NA,NA,NA,NA,7.869209289550781,0.019724369049072266,0.04899999499320984,NA,0,0,1,0.09271806478500366,0.1170428991317749,0.12052249908447266,0.10188037157058716,0.08739501237869263,0.06869781017303467,NA,NA,NA,NA,NA,0,78,1,.,.,0
albuquerque,1,nm,31,85,1970,370,124,0,1,19,95,433,893,5235,11302,1832,8.1056671142578125,0.029606103897094727,0.07796996831893921,245000,0,0,1,0.09088623523712158,0.11183589696884155,0.11572474241256714,0.10148650407791138,0.08953768014907837,0.07241421937942505,2.1999988555908203,12.299995422363281,829.89697265625,157.2164306640625,0.3879997730255127,0,78,0,.,.,0
albuquerque,1,nm,31,85,1971,377,197,0,0,31,103,667,988,6232,13701,1988,8.330863952636719,0.02740335464477539,0.08147996664047241,254666.625,0,0,1,0.0891680121421814,0.10695183277130127,0.11122453212738037,0.1011170744895935,0.09154748916625977,0.07590007781982422,2.229999542236328,12.189994812011719,834.56787109375,172.8394775390625,0.4049999713897705,1,78,0,Oct-71,.,0
albuquerque,1,nm,31,85,1972,389,155,0,0,23,154,857,1159,7023,12553,1705,8.846885681152344,0.060098886489868164,0.07466000318527222,251200,0,0,1,0.08755320310592651,0.10236150026321411,0.10699504613876343,0.10076987743377686,0.09343641996383667,0.07917630672454834,2.259998321533203,12.079994201660156,846.8896484375,179.42578125,0.4179999828338623,1,78,0,.,.,0
albuquerque,1,nm,31,85,1973,447,137,1,0,28,169,909,1157,6942,11852,1623,9.182426452636719,0.037226200103759766,0.07383996248245239,262404,0,0,1,0.08603262901306152,0.09803932905197144,0.10301250219345093,0.10044294595718384,0.09521502256393433,0.08226120471954346,2.289999008178711,11.969993591308594,828.82861328125,173.42333984375,0.4439997673034668,1,78,1,.,.,0
albuquerque,1,nm,31,85,1974,486,161,0,1,31,183,803,877,6547,12781,1472,9.103446960449219,-0.008638858795166016,0.08271998167037964,278100,0,0,1,0.0845983624458313,0.09396231174468994,0.09925597906112671,0.10013455152511597,0.09689271450042725,0.08517110347747803,2.3199996948242188,11.859992980957031,778.904296875,160.243408203125,0.492999792098999,1,78,0,Dec-77,.,0
albuquerque,1,nm,31,85,1975,509,159,0,0,30,181,819,1353,7792,13720,1418,9.197021484375,0.010226964950561523,0.10017997026443481,286238,0,0,1,0.08324319124221802,0.09011030197143555,0.09570670127868652,0.09984314441680908,0.09847784042358398,0.08792036771774292,2.3499984741210938,11.75,842.00732421875,144.9813232421875,0.5379996299743652,1,78,0,Dec-77,.,0
albuquerque,1,nm,31,85,1976,496,184,0,0,28,186,871,1335,7790,16725,1491,9.4973602294921875,0.03213381767272949,0.09226995706558228,292265,0,0,1,0.08196079730987549,0.08646506071090698,0.09234797954559326,0.099567413330078125,0.09997785091400146,0.09052205085754395,2.3799991607666016,11.639999389648438,871.70458984375,145.869873046875,0.5689997673034668,1,78,0,Dec-77,.,0
albuquerque,1,nm,31,85,1977,491,214,1,0,31,207,754,1398,6568,13833,1164,9.846534729003906,0.03610539436340332,0.07752996683120728,292341,0,0,1,0.08074545860290527,0.08301049470901489,0.08916491270065308,0.09930610656738281,0.1013994812965393,0.09298771619796753,2.4099998474121094,11.529998779296875,891.0888671875,151.815185546875,0.6059999465942383,1,78,1,Dec-81,.,0
albuquerque,1,nm,31,85,1978,465,188,0,1,37,187,694,1516,6191,12910,1331,10.319015502929688,0.04686903953552246,0.05674999952316284,291834,0,0,1,0.07959204912185669,0.07973188161849976,0.08614403009414673,0.09905815124511719,0.1027485728263855,0.09532773494720459,2.4399986267089844,11.419998168945312,904.90771484375,144.1717529296875,0.6519999504089355,1,78,0,Dec-81,Dec-77,0
albuquerque,1,nm,31,85,1979,472,250,0,0,47,215,815,1602,7298,15613,1751,10.27685546875,-0.00409388542175293,0.06641995906829834,302120,0,0,1,0.07849597930908203,0.07661622762680054,0.08327323198318481,0.09882247447967529,0.10403066873550415,0.09755146503448486,2.469999313354492,11.30999755859375,911.845703125,161.156982421875,0.7259998321533203,1,78,0,Dec-81,Dec-81,0
albuquerque,1,nm,31,85,1980,499,306,0,0,50,225,993,1740,8081,16808,1429,9.9138336181640625,-0.03596353530883789,0.07466995716094971,328837,0,0,1,0.07745307683944702,0.07365167140960693,0.08054167032241821,0.09859824180603027,0.10525065660476685,0.09966737031936646,2.5,11.199996948242188,862.86376953125,155.3397216796875,0.8239998817443848,1,78,0,Oct-81,Dec-81,0
albuquerque,1,nm,31,85,1981,557,241,1,0,45,213,1107,1620,9074,16984,1571,9.9251861572265625,0.0011448860168457031,0.07266998291015625,336840,0,0,1,0.07760196924209595,0.07397240400314331,0.07914745807647705,0.09509402513504028,0.10207211971282959,0.09889918565750122,2.549999237060547,11.289993286132812,874.58740234375,166.1165771484375,0.9089999198913574,1,78,1,Oct-81,Dec-81,0
albuquerque,1,nm,31,85,1982,564,289,0,1,26,199,926,1508,7980,17214,1361,9.851814270019531,-0.007420539855957031,0.09224998950958252,344962,0,0,1,0.07774662971496582,0.07428401708602905,0.07779276371002197,0.09168928861618042,0.09898382425308228,0.09815281629562378,2.5999984741210938,11.379997253417969,879.57958984375,167.28662109375,0.9649996757507324,1,78,0,.,Dec-81,0
albuquerque,1,nm,31,85,1983,592,299,0,0,24,206,909,1815,7733,17087,1476,9.882530212402344,0.0031130313873291016,0.10182994604110718,355163,0,0,1,0.07788723707199097,0.07458692789077759,0.07647603750228882,0.08837991952896118,0.09598201513290405,0.09742730855941772,2.6499996185302734,11.469993591308594,908.7705078125,159.697265625,0.995999813079834,1,78,0,Oct-85,Dec-85,0
albuquerque,1,nm,31,85,1984,620,308,0,0,28,210,1215,2162,8686,17485,1622,10.113914489746094,0.023144245147705078,0.07482999563217163,356366,0,0,1,0.07802397012710571,0.07488143444061279,0.07519572973251343,0.08516192436218262,0.0930631160736084,0.09672188758850098,2.6999988555908203,11.55999755859375,902.39404296875,162.660400390625,1.0389995574951172,1,78,0,Nov-85,.,0
albuquerque,1,nm,31,85,1985,644,462,1,0,42,238,1247,2578,9186,17935,1932,10.4061279296875,0.028482437133789062,0.08857995271682739,357051,0,0,1,0.07815694808959961,0.0751679539680481,0.07395023107528687,0.08203160762786865,0.09022372961044312,0.0960356593132019,2.75,11.649993896484375,926.1630859375,166.645263671875,1.0759992599487305,1,78,1,Oct-85,.,0
albuquerque,1,nm,31,85,1986,683,371,0,1,49,247,1248,2748,9746,19490,1988,10.446601867675781,0.003882169723510742,0.0914199948310852,364196,0,0,1,0.07828640937805176,0.07544678449630737,0.07273823022842407,0.07898539304733276,0.08746057748794556,0.0953679084777832,2.799999237060547,11.739997863769531,976.0361328125,180.38134765625,1.0959997177124023,1,78,0,Nov-89,.,0
albuquerque,1,nm,31,85,1987,710,367,0,0,48,211,987,2599,9965,20913,2285,10.479522705078125,0.0031464099884033203,0.08791995048522949,371756,0,0,1,0.07841241359710693,0.0757182240486145,0.07155835628509521,0.07601994276046753,0.08477073907852173,0.09471780061721802,2.8499984741210938,11.829994201660156,887.93115234375,193.59130859375,1.1359996795654297,1,78,0,Oct-89,.,0
albuquerque,1,nm,31,85,1988,729,371,0,0,49,190,928,3108,11042,20950,2705,10.519020080566406,0.0037610530853271484,0.078249990940094,378176,0,0,1,0.07853513956069946,0.07598251104354858,0.07040929794311523,0.07313209772109985,0.08215129375457764,0.0940847396850586,2.8999996185302734,11.919998168945312,881.13623046875,207.1285400390625,1.182999610900879,1,78,0,Oct-89,.,0
albuquerque,1,nm,31,85,1989,760,389,1,0,41,178,1032,3445,9672,21670,2306,10.641929626464844,0.011617422103881836,0.06607997417449951,384801,0,0,1,0.07865464687347412,0.07624000310897827,0.06928998231887817,0.07031887769699097,0.07959949970245361,0.09346801042556763,2.9499988555908203,12.009994506835938,916.93505859375,209.6773681640625,1.239999771118164,1,78,1,Oct-89,.,0
