salario,salario_reale,eta,istruzione,annistruzione,genere,cittadinanza,tiponucleo,area5,area3,regione,statocivile,oredilavoro,qualifica,contratto,settore,peso
1500,1469.4244604316546,40,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Veneto,Celibe/nubile,40,Operaio,A tempo pieno,Fabbricazione di macchinari ed apparecchiature nca,1248.8
1600,1567.3860911270983,47,5,13,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,36,Impiegato,A tempo pieno,Assistenza sanitaria,579.6
1650,1616.36690647482,48,5,13,Femmina,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,25,Impiegato,A tempo pieno,Istruzione,579.6
1780,1743.717026378897,38,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Friuli Venezia Giulia,Coniugato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,274.2
1400,1371.462829736211,57,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,40,Lavoratore presso il proprio domicilio per conto di un'impresa,A tempo pieno,"Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",260.6
1000,979.6163069544364,38,5,13,Femmina,Cittadino italiano,Persona isolata,Isole,Mezzogiorno,Sicilia,Celibe/nubile,32,Impiegato,A tempo parziale (part-time),Industrie alimentari,500
1200,1175.5395683453237,29,5,13,Femmina,Cittadino italiano,Persona isolata,Centro,Centro,Marche,Celibe/nubile,40,Operaio,A tempo pieno,Confezione di articoli di abbigliamento; confezione di articoli in pelle e pelliccia,484.2
1600,1567.3860911270983,51,4,11,Maschio,Cittadino italiano,Persona isolata,Centro,Centro,Lazio,Separato/a o divorziato/a,36,Impiegato,A tempo pieno,Assistenza sanitaria,664.1
1400,1371.462829736211,36,5,13,Maschio,Cittadino italiano,Coppia senza figli,Sud,Mezzogiorno,Abruzzo,Coniugato/a,40,Operaio,A tempo pieno,Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,554.9
980,960.0239808153476,46,5,13,Maschio,Cittadino italiano,Persona isolata,Centro,Centro,Toscana,Celibe/nubile,45,Operaio,A tempo pieno,Attività dei servizi di ristorazione,983.8
1400,1371.462829736211,41,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,40,Impiegato,A tempo pieno,Attività degli studi di architettura e d'ingegneria; collaudi ed analisi tecniche,371.6
290,284.08872901678654,20,5,13,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Celibe/nubile,12,Apprendista,A tempo parziale (part-time),Attività dei servizi di ristorazione,147
900,881.6546762589927,38,5,13,Femmina,Cittadino italiano,Persona isolata,Sud,Mezzogiorno,Calabria,Vedovo/a,25,Impiegato,A tempo parziale (part-time),Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,683.7
1200,1175.5395683453237,36,3,8,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Calabria,Coniugato/a,50,Operaio,A tempo pieno,"Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",686.6
2200,2155.15587529976,50,10,18,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,38,Impiegato,A tempo pieno,Ingegneria civile,2269.7
1700,1665.347721822542,51,10,18,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,40,Quadro,A tempo pieno,Istruzione,2269.7
1100,1077.57793764988,34,4,11,Maschio,Cittadino italiano,Persona isolata,Centro,Centro,Marche,Celibe/nubile,40,Operaio,A tempo pieno,"Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",477.6
1500,1469.4244604316546,53,5,13,Femmina,Cittadino italiano,Persona isolata,Nord-Est,Nord,Emilia Romagna,Separato/a o divorziato/a,40,Impiegato,A tempo pieno,Trasporto terrestre e trasporto mediante condotte,872.9
1350,1322.482014388489,42,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,40,Impiegato,A tempo pieno,Magazzinaggio e attività di supporto ai trasporti,536.4
1100,1077.57793764988,26,3,8,Maschio,cittadino straniero non UE,Coppia con figli,Nord-Ovest,Nord,Valle d'Aosta,Coniugato/a,25,Operaio,A tempo parziale (part-time),"Attività di ricerca, selezione, fornitura di personale",53.4
1000,979.6163069544364,50,5,13,Femmina,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Lombardia,Separato/a o divorziato/a,25,Impiegato,A tempo parziale (part-time),Istruzione,1465.9
1500,1469.4244604316546,35,3,8,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Abruzzo,Coniugato/a,36,Operaio,A tempo pieno,"Attività di raccolta, trattamento e smaltimento dei rifiuti; recupero dei materiali",324.4
1300,1273.5011990407672,38,3,8,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Abruzzo,Coniugato/a,40,Operaio,A tempo pieno,Attività dei servizi di ristorazione,324.4
2000,1959.2326139088727,48,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,45,Impiegato,A tempo pieno,Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),366.1
1800,1763.3093525179854,40,5,13,Maschio,Cittadino italiano,Coppia senza figli,Centro,Centro,Umbria,Coniugato/a,40,Operaio,A tempo pieno,Metallurgia,365.5
1260,1234.31654676259,42,5,13,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Umbria,Coniugato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,251.1
1450,1420.4436450839328,52,3,8,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Umbria,Coniugato/a,40,Operaio,A tempo pieno,Fabbricazione di macchinari ed apparecchiature nca,251.1
400,391.8465227817746,62,4,11,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Coniugato/a,13,Operaio,A tempo parziale (part-time),Attività di servizi per edifici e paesaggio,304.6
1200,1175.5395683453237,27,5,13,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Celibe/nubile,40,Operaio,A tempo pieno,Attività dei servizi di ristorazione,304.6
800,783.6930455635492,56,3,8,Femmina,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Lombardia,Separato/a o divorziato/a,30,Operaio,A tempo parziale (part-time),Altre attività di servizi per la persona,980.1
850,832.6738609112709,53,2,5,Maschio,Cittadino italiano,Persona isolata,Centro,Centro,Toscana,Separato/a o divorziato/a,24,Operaio,A tempo parziale (part-time),Attività dei servizi di ristorazione,303.9
1040,1018.800959232614,41,5,13,Femmina,Cittadino italiano,Monogenitore femmina,Sud,Mezzogiorno,Abruzzo,Separato/a o divorziato/a,40,Operaio,A tempo pieno,Confezione di articoli di abbigliamento; confezione di articoli in pelle e pelliccia,918.6
1600,1567.3860911270983,56,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Veneto,Coniugato/a,32,Impiegato,A tempo pieno,Istruzione,151
1200,1175.5395683453237,57,3,8,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Calabria,Coniugato/a,36,Operaio,A tempo pieno,Istruzione,309.2
1200,1175.5395683453237,58,5,13,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Campania,Coniugato/a,40,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,2534.9
1600,1567.3860911270983,54,5,13,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Campania,Coniugato/a,32,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,1650.5
1600,1567.3860911270983,48,5,13,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Campania,Coniugato/a,32,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,1650.5
1000,979.6163069544364,23,5,13,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Campania,Celibe/nubile,40,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,1650.5
1500,1469.4244604316546,32,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Emilia Romagna,Coniugato/a,45,Operaio,A tempo pieno,Industria del legno e dei prodotti in legno e sughero (no mobili); fabbr. di articoli in paglia e materiali da intreccio,2133.9
900,881.6546762589927,42,10,18,Maschio,Cittadino italiano,Persona isolata,Centro,Centro,Umbria,Celibe/nubile,20,Impiegato,A tempo parziale (part-time),"Fabbr. di computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi",535.5
2000,1959.2326139088727,48,10,18,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Abruzzo,Coniugato/a,40,Dirigente,A tempo pieno,Fabbricazione di macchinari ed apparecchiature nca,223.1
1450,1420.4436450839328,44,10,18,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Abruzzo,Coniugato/a,30,Impiegato,A tempo pieno,Istruzione,223.1
1400,1371.462829736211,66,3,8,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sardegna,Coniugato/a,40,Operaio,A tempo pieno,Ricerca scientifica e sviluppo,346.2
